nama_produk,jenis_produk,harga_retail,harga_diskon,rating
Mee Mee Women's Maternity Panty,"[""Clothing >> Women's Clothing >> Maternity Wear >> Lingerie & Sleepwear >> Panties >> Mee Mee Panties >> Mee Mee Women's Maternity Panty (Pack of 2)""]",358.0,358.0,1.0
knp enterprise Audi Style Alloy Mangalsutra,"[""Jewellery >> Mangalsutras & Tanmaniyas >> knp enterprise Audi Style Alloy Mangalsutra""]",1599.0,549.0,5.0
Asst Full Sleeve Solid Women's Jacket,"[""Clothing >> Women's Clothing >> Western Wear >> Shrugs & Jackets >> Winter Jackets >> Asst Winter Jackets""]",2299.0,1099.0,4.3
Purys Full Sleeve Solid Women's Fleece Jacket,"[""Clothing >> Women's Clothing >> Western Wear >> Shrugs & Jackets >> Winter Jackets >> Purys Winter Jackets""]",999.0,699.0,4.0
Sports 52 Wear Men's Cargos,"[""Clothing >> Men's Clothing >> Cargos, Shorts & 3/4ths >> Cargos >> Sports 52 Wear Cargos""]",2495.0,999.0,5.0
Silver Bucks Camouflage Cargo Men's Cargos,"[""Clothing >> Men's Clothing >> Cargos, Shorts & 3/4ths >> Cargos >> Silver Bucks Cargos""]",1695.0,1175.0,5.0
Basicare Loofah Sponge with Rope,"[""Beauty and Personal Care >> Bath and Spa >> Bath and Spa Accessories >> Loofahs >> Basicare Loofahs""]",185.0,185.0,3.2
Trufit Full Sleeve Solid Women's Bomber Jacket,"[""Clothing >> Women's Clothing >> Western Wear >> Shrugs & Jackets >> Winter Jackets >> Trufit Winter Jackets""]",2245.0,1345.0,5.0
SR Crafts Showpiece  -  15.24 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpieces >> Human Figurines >> SR Crafts Human Figurines""]",1850.0,1399.0,5.0
Transcend MP 870 8 GB MP4 Player,"[""Computers >> Audio Players >> MP4 / Video MP3 Players >> Transcend MP4 / Video MP3 Players""]",4225.0,3450.0,3.8
Shop Rajasthan Abstract Single Dohar Multicolor,"[""Home Furnishing >> Bed Linen >> Blankets, Quilts & Dohars""]",1099.0,549.0,1.0
Clarks Olga Masie Women Flats,"[""Footwear >> Women's Footwear >> Flats""]",2799.0,1679.0,4.7
Clarks Shavi Loop Women Flats,"[""Footwear >> Women's Footwear >> Wedges""]",2799.0,1679.0,4.2
Elfani Brilliance Lip Color 127 Brick Red 3.5 g,"[""Beauty and Personal Care >> Makeup >> Lips >> Lipsticks >> Elfani Lipsticks""]",255.0,180.0,5.0
Perfect Women's Leggings,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Ethnic Bottoms >> Leggings & Churidars >> Leggings & Jeggings >> Perfect Leggings & Jeggings >> Perfect Women's Leggings (Pack of 2)""]",998.0,598.0,5.0
Vaishna Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vaishna Bras""]",210.0,94.0,3.0
Florentyne Padded Push-up Bra Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0
Luxemburg Bandaeu Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",999.0,349.0,4.0
Laceandme Super Comfort Bandeau Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Laceandme Bras""]",450.0,140.0,4.0
Ladyland Mybra Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",899.0,369.0,5.0
Secret Wish Cherry Print Navy Underwired Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Secret Wish Bras""]",1198.0,299.0,3.0
Ladyland Dia Beige Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",1499.0,529.0,5.0
Peri Peri Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Peri Peri Bras""]",999.0,349.0,3.2
Madaam NonPadded Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Madaam Bras""]",367.0,127.0,1.0
Vivity Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,4.0
Ladyland Daisy Pink Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",729.0,319.0,5.0
Ladyland Liz Black Bra Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",1599.0,539.0,5.0
Ladyland Stellah Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",899.0,349.0,5.0
Urbaano Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",390.0,189.0,5.0
Oleva Women's Sports Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Oleva Bras""]",599.0,130.0,1.0
Younky Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Younky Bras""]",1299.0,149.0,3.0
Luxemburg Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",649.0,249.0,3.5
Ladyland Life Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",849.0,349.0,5.0
Peri Peri Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Peri Peri Bras""]",1099.0,384.0,3.7
Vivity Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,2.3
Tia by Ten on Ten Fashion Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,259.0,5.0
Grafion Comfortable Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Grafion Bras""]",499.0,129.0,5.0
Vaishna Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vaishna Bras""]",230.0,99.0,5.0
Floret Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Floret Bras""]",189.0,179.0,2.0
Florentyne Padded Push-up Bra Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0
Vivity KFB-24 Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,1.0
Urbaano Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",600.0,270.0,5.0
